;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME170413;Spain Demands Gibraltar!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC170413;In an act of impudence bordering on outright hostility, the Spanish have reasserted their claim on the Rock of Gibraltar, ceded to us over a century ago, and have expelled our diplomats without warning. Gibraltar being the lynchpin to free naval access to the Mediterranean Sea, surrendering it would be a massive blow to British commerce, power projection, and prestige. ignoring such a ridiculous claim as should be appropriate would do nothing to refute their claim to Gibraltar. The only way to rebuke this act of insolence is through force, with all the cost it would incur for both our nations.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170413OPTA;They have forced our hand. To arms!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170413OPTB;Who cares about the prattling of ruined empires?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170413OPTC;For the sake of peace, we will concede to their rightful claim.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME170414;The United Kingdom Surrenders Gibraltar;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC170414;The cowardly British have acknowledged our supremacy and handed back our rightful lands. The Union Jack that has flown so insultingly over the Rock of Gibraltar has finally been removed and replaced with our proud flag. Once again, we control the mouth of the Mediterranean.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170414OPT;And so we shall, now and in perpetuity...;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME170415;The Loss of Gibraltar;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC170415;The once-thought impenetrable fortress of Gibraltar has fallen to the Spanish. With it goes our control over the mouth of the Mediterranean Sea and all guarantees over free trade into and out of the southern belly of Europe. Already, Spanish newspapers gloat over the victory while our domestic press is in conniptions. What awaits after the fingerpointing is uncertain. All we know now is that we have lost a vital part of the Empire.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170415OPT;We took the Rock once. We can do it again.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME170416;The Disaster of Gibraltar;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC170416; How is it that Gibraltar is so close to us, yet still always out of our grasp? The impenetrable fortress of Gibraltar has lived up to its reputation. Despite constant bombardment, the fortifications held while our forces were repelled on other fronts. Humiliated and bruised, all we can do now is lick our wounds and give up on our dreams of restoring our borders to their former glory.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170416OPT;There are more fruitful ventures elsewhere...;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME170417;The Spanish Demands;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC170417;...Article 15: The Royal Government of Portugal will take steps to denounce any slander published by domestic press against the authority of the Spanish Crown, as befitting the relations between two allies. \nArticle 16: The Royal Government of Portugal will consult the Spanish ambassador regarding any diplomatic matters concerning the other Great Powers, economic relations, colonial governance...\n\n A telegraph from Madrid has thrown the Cortes Gerais into conniptions. The dozens of conditions and guidelines it outlines essentially amounts to surrendering all sovereignty to the Spanish Crown. On one hand, becoming a Spanish puppet would throw the country into disarray. On the other, the alternative is clearly war against a resurgent Spanish army. We can petition the British and French governments for aid but, ultimately, it will be up to us to decide whether we will stand down to protect our people or fight for our freedom once again.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170417OPTA;We will not let the sacrifice of the matyrs be in vain!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170417OPTB;Our people can only enjoy freedom if they are alive.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME170418;The Treaty of Lisboa;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC170418;Drunk on our latest success, we thought we could take on the world. When we bested the once greatest nation on the planet, who could have expected pathetic little Portugal could put up any more resistance? Yet here we stand, broken and humiliated, renouncing all our efforts thus far and signing away all our ambitions.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
